Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
65,AdjacencyList,10,13,0.5000,0.2889,2624373365,V9,57,954,487.2222,0,false,0.1046
66,AdjacencyList,10,11,0.5000,0.2444,984977530,V9,380,1053,617.8889,0,false,0.0377
67,AdjacencyList,10,12,0.5000,0.2667,3640089891,V9,26,826,376.6667,0,false,0.0320
68,AdjacencyList,10,11,0.5000,0.2444,2000220056,V9,469,993,797.6667,0,false,0.0371
69,AdjacencyList,10,11,0.5000,0.2444,360353921,V9,22,654,344.4444,0,false,0.0301
70,AdjacencyList,10,10,0.5000,0.2222,3015448582,V9,95,1446,558.0000,0,false,0.0445
71,AdjacencyList,10,14,0.5000,0.3111,1375572747,V9,199,688,410.0000,0,false,0.0495
72,AdjacencyList,10,12,0.5000,0.2667,4030707408,V9,253,968,661.7778,0,false,0.0494
73,AdjacencyList,10,9,0.5000,0.2000,2390867673,V9,131,748,431.0000,0,false,0.0368
74,AdjacencyList,10,12,0.5000,0.2667,751324338,V9,98,1264,497.5556,0,false,0.0392
75,AdjacencyList,10,10,0.5000,0.2222,3406588199,V9,218,1085,662.6667,0,false,0.0332
76,AdjacencyList,10,11,0.5000,0.2444,1766947664,V9,184,658,372.3333,0,false,0.0458
77,AdjacencyList,10,10,0.5000,0.2222,127201629,V9,29,612,269.5556,0,false,0.0837
78,AdjacencyList,10,8,0.5000,0.1778,2782499190,V9,129,1800,854.7778,0,false,0.0360
79,AdjacencyList,10,12,0.5000,0.2667,1142649055,V9,150,790,367.3333,0,false,0.0440
80,AdjacencyList,10,10,0.5000,0.2222,3797972916,V9,130,856,528.7778,0,false,0.0335
81,AdjacencyList,10,10,0.5000,0.2222,2158093181,V9,48,745,397.0000,0,false,0.0348
82,AdjacencyList,10,11,0.5000,0.2444,518234046,V9,282,1060,501.6667,0,false,0.0426
83,AdjacencyList,10,10,0.5000,0.2222,3173813407,V9,52,817,316.4444,0,false,0.0348
84,AdjacencyList,10,11,0.5000,0.2444,1534068772,V9,12,819,457.7778,0,false,0.0425
85,AdjacencyList,10,13,0.5000,0.2889,4189240433,V9,371,987,637.7778,0,false,0.0396
86,AdjacencyList,10,14,0.5000,0.3111,2549406598,V9,349,1008,729.6667,0,false,0.0413
87,AdjacencyList,10,11,0.5000,0.2444,909548963,V9,546,1207,763.3333,0,false,0.0411
88,AdjacencyList,10,8,0.5000,0.1778,3564645924,V9,54,614,266.4444,0,false,0.0291
89,AdjacencyList,10,13,0.5000,0.2889,1924778189,V9,54,575,315.8889,0,false,0.0393
90,AdjacencyList,10,11,0.5000,0.2444,284906054,V9,176,1374,729.4444,0,false,0.0411
91,AdjacencyList,10,10,0.5000,0.2222,2940009115,V9,224,1142,586.3333,0,false,0.0331
92,AdjacencyList,10,10,0.5000,0.2222,1300501680,V9,285,1154,727.1111,0,false,0.0967
93,AdjacencyList,10,11,0.5000,0.2444,3955875741,V9,79,1012,587.6667,0,false,0.0372
94,AdjacencyList,10,11,0.5000,0.2444,2316070006,V9,516,871,659.8889,0,false,0.0362
95,AdjacencyList,10,15,0.5000,0.3333,676193071,V9,408,940,700.6667,0,false,0.0463
96,AdjacencyList,10,10,0.5000,0.2222,3331306332,V9,136,866,595.8889,0,false,0.0326
97,AdjacencyList,10,10,0.5000,0.2222,1691428297,V9,236,713,486.4444,0,false,0.0402
98,AdjacencyList,10,11,0.5000,0.2444,51565062,V9,566,1051,876.6667,0,false,0.0366
99,AdjacencyList,10,12,0.5000,0.2667,2706747423,V9,63,664,416.8889,0,false,0.0377
100,AdjacencyList,10,10,0.5000,0.2222,1066885688,V9,225,917,601.4444,0,false,0.0321
1,AdjacencyList,10,15,0.7500,0.3333,272877905,V9,287,721,509.1111,0,false,0.0477
2,AdjacencyList,10,17,0.7500,0.3778,2928033966,V9,127,516,364.3333,0,false,0.0509
3,AdjacencyList,10,17,0.7500,0.3778,1288190931,V9,119,693,363.5556,0,false,0.0588
4,AdjacencyList,10,16,0.7500,0.3556,3943356792,V9,38,332,189.6667,0,false,0.0466
5,AdjacencyList,10,18,0.7500,0.4000,2303508157,V9,35,488,202.2222,0,false,0.0537
6,AdjacencyList,10,19,0.7500,0.4222,663666422,V9,130,517,281.6667,0,false,0.0649
7,AdjacencyList,10,17,0.7500,0.3778,3318853583,V9,39,203,107.1111,0,false,0.0417
8,AdjacencyList,10,19,0.7500,0.4222,1678998548,V9,147,578,329.0000,0,false,0.0542
9,AdjacencyList,10,17,0.7500,0.3778,39332213,V9,182,847,489.7778,0,false,0.0516
10,AdjacencyList,10,18,0.7500,0.4000,2694688074,V9,1,455,224.5556,0,false,0.0523
11,AdjacencyList,10,18,0.7500,0.4000,1054942339,V9,64,554,330.1111,0,false,0.0617
12,AdjacencyList,10,18,0.7500,0.4000,3710087200,V9,84,715,382.1111,0,false,0.0435
13,AdjacencyList,10,18,0.7500,0.4000,2070244465,V9,120,524,326.8889,0,false,0.0528
14,AdjacencyList,10,18,0.7500,0.4000,430420730,V9,293,803,515.8889,0,false,0.0440
15,AdjacencyList,10,15,0.7500,0.3333,3085548491,V9,27,744,339.6667,0,false,0.0437
16,AdjacencyList,10,18,0.7500,0.4000,1445689656,V9,520,917,692.0000,0,false,0.0628
17,AdjacencyList,10,17,0.7500,0.3778,4100829317,V9,242,528,432.7778,0,false,0.0611
18,AdjacencyList,10,16,0.7500,0.3556,2461260682,V9,52,884,429.7778,0,false,0.0510
19,AdjacencyList,10,17,0.7500,0.3778,821921247,V9,50,529,286.4444,0,false,0.0605
20,AdjacencyList,10,17,0.7500,0.3778,3477146208,V9,128,643,425.3333,0,false,0.0701
21,AdjacencyList,10,17,0.7500,0.3778,1837372273,V9,60,369,219.0000,0,false,0.0506
22,AdjacencyList,10,17,0.7500,0.3778,197537438,V9,20,443,210.1111,0,false,0.0524
23,AdjacencyList,10,18,0.7500,0.4000,2852745799,V9,195,300,257.1111,0,false,0.0542
24,AdjacencyList,10,16,0.7500,0.3556,1212953464,V9,207,786,442.5556,0,false,0.0486
